Mega Millions,10,22,2013,3,2,19,71,52,14,5
Mega Millions,10,25,2013,45,16,60,54,6,15,2
Mega Millions,10,29,2013,54,53,33,50,20,7,3
Mega Millions,11,1,2013,49,35,32,62,67,1,5
Mega Millions,11,5,2013,74,11,2,64,42,2,5
Mega Millions,11,8,2013,41,42,65,51,57,7,2
Mega Millions,11,12,2013,20,71,32,42,30,15,5
Mega Millions,11,15,2013,54,63,49,44,25,8,4
Mega Millions,11,19,2013,14,63,49,29,15,2,3
Mega Millions,11,22,2013,44,23,36,35,17,8,3
Mega Millions,11,26,2013,74,59,27,44,75,3,5
Mega Millions,11,29,2013,41,9,43,57,47,5,4
Mega Millions,12,3,2013,12,41,7,44,59,3,3
Mega Millions,12,6,2013,64,11,44,63,29,3,3
Mega Millions,12,10,2013,65,22,41,5,12,13,2
Mega Millions,12,13,2013,27,26,24,19,70,12,2
Mega Millions,12,17,2013,8,20,14,17,39,7,4
Mega Millions,12,20,2013,49,3,31,4,57,6,2
Mega Millions,12,24,2013,73,53,58,34,23,2,3
Mega Millions,12,27,2013,4,48,15,49,35,11,5
Mega Millions,12,31,2013,58,12,8,52,34,8,3
Mega Millions,1,3,2014,25,70,24,22,40,5,5
Mega Millions,1,7,2014,13,34,64,62,56,6,5
Mega Millions,1,10,2014,8,37,36,57,28,8,3
Mega Millions,1,14,2014,4,69,23,26,62,13,3
Mega Millions,1,17,2014,1,10,31,26,51,11,4
Mega Millions,1,21,2014,45,33,8,52,23,4,4
Mega Millions,1,24,2014,46,65,45,47,22,10,5
Mega Millions,1,28,2014,16,53,60,28,7,2,3
Mega Millions,1,31,2014,9,13,47,3,52,8,4
Mega Millions,2,4,2014,60,25,73,44,49,9,3
Mega Millions,2,7,2014,64,35,11,23,21,10,3
Mega Millions,2,11,2014,67,64,43,71,73,4,2
Mega Millions,2,14,2014,20,35,28,71,72,7,3
Mega Millions,2,18,2014,70,31,29,23,37,14,5
Mega Millions,2,21,2014,45,23,46,29,32,15,5
Mega Millions,2,25,2014,66,35,18,12,25,15,5
Mega Millions,2,28,2014,50,31,59,58,3,6,4
Mega Millions,3,4,2014,10,35,31,45,29,10,2
Mega Millions,3,7,2014,51,11,69,57,13,1,4
Mega Millions,3,11,2014,56,14,9,69,57,10,4
Mega Millions,3,14,2014,7,69,54,20,40,12,3
Mega Millions,3,18,2014,51,24,11,33,19,7,3
Mega Millions,3,21,2014,2,23,30,35,53,10,5
Mega Millions,3,25,2014,19,57,51,26,73,15,3
Mega Millions,3,28,2014,2,9,50,3,73,12,3
Mega Millions,4,1,2014,68,23,74,10,75,9,5
Mega Millions,4,4,2014,15,10,54,1,41,9,2
Mega Millions,4,8,2014,35,71,36,41,60,3,3
Mega Millions,4,11,2014,3,44,42,47,57,8,5
Mega Millions,4,15,2014,39,4,70,46,47,13,3
Mega Millions,4,18,2014,45,18,25,38,63,9,2
Mega Millions,4,22,2014,18,49,2,50,19,1,3
Mega Millions,4,25,2014,11,66,18,20,3,9,2
Mega Millions,4,29,2014,61,66,43,59,7,3,3
Mega Millions,5,2,2014,18,1,35,26,40,13,5
Mega Millions,5,6,2014,18,51,48,27,20,5,3
Mega Millions,5,9,2014,39,10,59,28,51,14,2
Mega Millions,5,13,2014,46,48,37,70,74,1,2
Mega Millions,5,16,2014,56,14,13,16,50,11,5
Mega Millions,5,20,2014,40,64,63,10,69,7,2
Mega Millions,5,23,2014,21,70,14,38,12,15,4
Mega Millions,5,27,2014,1,46,58,10,6,13,2
Mega Millions,5,30,2014,42,10,13,43,62,2,4
Mega Millions,6,3,2014,62,19,66,74,28,6,3
Mega Millions,6,6,2014,49,37,12,72,29,9,4
Mega Millions,6,10,2014,74,10,24,2,26,7,5
Mega Millions,6,13,2014,7,46,38,49,56,1,5
Mega Millions,6,17,2014,24,60,14,10,47,3,4
Mega Millions,6,20,2014,25,1,56,29,22,3,5
Mega Millions,6,24,2014,65,47,24,17,13,10,4
Mega Millions,6,27,2014,46,64,29,15,31,10,3
Mega Millions,7,1,2014,9,47,38,49,22,15,3
Mega Millions,7,4,2014,58,33,39,16,69,2,5
Mega Millions,7,8,2014,48,27,25,49,14,9,5
Mega Millions,7,11,2014,13,9,30,35,69,10,5
Mega Millions,7,15,2014,40,2,17,4,36,5,2
Mega Millions,7,18,2014,5,59,65,8,72,3,3
Mega Millions,7,22,2014,31,47,22,14,18,15,3
Mega Millions,7,25,2014,33,29,41,68,22,12,5
Mega Millions,7,29,2014,2,16,43,74,8,1,4
Mega Millions,8,1,2014,13,34,72,37,29,6,5
Mega Millions,8,5,2014,53,28,45,36,25,6,5
Mega Millions,8,8,2014,9,70,61,16,75,7,5
Mega Millions,8,12,2014,63,32,53,60,68,6,4
Mega Millions,8,15,2014,28,19,29,16,68,9,2
Mega Millions,8,19,2014,71,22,67,39,56,15,4
Mega Millions,8,22,2014,31,34,5,74,41,3,5
Mega Millions,8,26,2014,31,64,60,29,51,1,5
Mega Millions,8,29,2014,58,73,26,3,45,12,2
Mega Millions,9,2,2014,72,69,8,1,54,1,3
Mega Millions,9,5,2014,12,24,7,20,59,7,2
Mega Millions,9,9,2014,70,55,25,34,71,1,4
Mega Millions,9,12,2014,36,18,28,33,42,7,3
Mega Millions,9,16,2014,73,51,53,25,45,2,2
Mega Millions,9,19,2014,16,34,25,29,27,2,2
Mega Millions,9,23,2014,43,21,24,40,25,12,5
Mega Millions,9,26,2014,26,35,62,17,46,9,5
Mega Millions,9,30,2014,61,52,54,16,3,6,5
Mega Millions,10,3,2014,20,58,3,34,67,6,3
Mega Millions,10,7,2014,46,55,29,48,16,2,3
Mega Millions,10,10,2014,32,59,35,2,50,3,5
Mega Millions,10,14,2014,46,37,64,11,68,15,3
Mega Millions,10,17,2014,60,31,43,56,21,12,4
Mega Millions,10,21,2014,41,5,35,66,37,11,5
Mega Millions,10,24,2014,2,55,21,28,14,3,3
Mega Millions,10,28,2014,3,57,60,50,58,11,5
Mega Millions,10,31,2014,67,11,58,36,29,15,2
Mega Millions,11,4,2014,15,24,41,9,39,1,4
Mega Millions,11,7,2014,66,35,31,41,65,5,5
Mega Millions,11,11,2014,28,75,23,30,25,11,5
Mega Millions,11,14,2014,68,62,49,3,61,15,5
Mega Millions,11,18,2014,53,68,39,37,75,6,2
Mega Millions,11,21,2014,37,63,3,12,35,15,2
Mega Millions,11,25,2014,29,10,47,11,56,4,2
Mega Millions,11,28,2014,47,26,29,8,36,10,3
Mega Millions,12,2,2014,49,18,13,22,62,11,5
Mega Millions,12,5,2014,59,5,11,51,4,5,5
Mega Millions,12,9,2014,45,52,49,27,51,14,5
Mega Millions,12,12,2014,58,46,65,31,2,7,5
Mega Millions,12,16,2014,68,58,41,72,73,1,5
Mega Millions,12,19,2014,59,58,14,68,18,4,3
Mega Millions,12,23,2014,31,56,66,10,4,7,3
Mega Millions,12,26,2014,10,20,2,38,5,14,3
